PROFESORADO DE EDUCACIÓN SECUNDARIA EN INFORMÁTICA;PROFESORADO;4;Activo
PROFESORADO DE EDUCACIÓN SECUNDARIA EN HISTORIA;PROFESORADO;4;Activo
TECNICATURA SUPERIOR EN LABORATORIO;TECNICATURA;3;Activo
TECNICATURA SUPERIOR EN GESTIÓN PÚBLICA;TECNICATURA;3;Activo
TECNICATURA SUPERIOR EN ADMINISTRACION CON ORIENTACION EN INFORMATICA;TECNICATURA;3;Activo
TECNICATURA SUPERIOR EN HIGIENE Y SEGURIDAD EN EL TRABAJO;TECNICATURA;3;Activo
PROFESORADO EN EDUCACIÓN ESPECIAL CON ORIENTACIÓN EN CIEGOS Y DISMINUIDOS VISUALES;PROFESORADO;4;Activo
PROFESORADO DE EDUCACIÓN SECUNDARIA EN BIOLOGÍA;PROFESORADO;4;Activo
PROFESORADO DE EDUCACIÓN SECUNDARIA EN LENGUA Y LITERATURA;PROFESORADO;4;Activo
